東京	とうきょう	東京都千代田区丸の内１丁目
上野	うえの	東京都台東区上野７−１−１
大宮	おおみや	埼玉県さいたま市大宮区錦町６３０
熊谷	くまがや	埼玉県熊谷市筑波２丁目１１５
本庄早稲田	ほんじょうわせだ	埼玉県本庄市早稲田の杜１丁目１−１
高崎	たかさき	群馬県高崎市八島町
安中榛名	あんなかはるな	群馬県安中市東上秋間２５５２−５
軽井沢	かるいざわ	長野県北佐久郡軽井沢町軽井沢１１７８
佐久平	さくだいら	長野県佐久市佐久平駅東１−１
上田	うえだ	長野県上田市天神１丁目１−１
長野	ながの	長野県長野市栗田
飯山	いいやま	長野県飯山市飯山枡ノ浦
上越妙高	じょうえつみょうこう	新潟県上越市大和２丁目
糸魚川	いといがわ	新潟県糸魚川市大町１丁目７−４７
黒部宇奈月温泉	くろべうなづきおんせん	富山県黒部市若栗３２１０−３
富山	とやま	富山県富山市明輪町１−２２５
新高岡	しんたかおか	富山県高岡市下黒田３０１１
金沢	かなざわ	石川県金沢市木ノ新保町１−１
小松	こまつ	石川県小松市八日市町地方イ１３２
加賀温泉	かがおんせん	石川県加賀市作見町
芦原温泉	あわらおんせん	福井県あわら市自由ヶ丘一丁目１６１３−１
福井	ふくい	福井県福井市中央一丁目
越前たけふ	えちぜんたけふ	福井県越前市大屋町３９字東登リ内１０番５
敦賀	つるが	福井県敦賀市津内１０９号南国広１−１
