新青森	しんあおもり	青森県青森市石江高間１４０−２
七戸十和田	しちのへとわだ	青森県上北郡七戸町荒熊内６７−４６
八戸	はちのへ	青森県八戸市大字尻内町字館田２−２
二戸	にのへ	岩手県二戸市石切所字森合６３−６８
いわて沼宮内	いわてぬまくない	岩手県岩手郡岩手町江刈内７−９
盛岡	もりおか	岩手県盛岡市盛岡駅前通１−４８
新花巻	しんはなまき	岩手県花巻市胡四王１丁目
北上	きたかみ	岩手県北上市大通り１丁目１−２
水沢江刺	みずさわえさし	岩手県奥州市水沢区羽田町駅前１丁目１８５
一ノ関	いちのせき	岩手県一関市駅前６７−１
くりこま高原	くりこまこうげん	宮城県栗原市志波姫新熊谷
古川	ふるかわ	宮城県大崎市古川駅前大通１丁目７−３５
仙台	せんだい	宮城県仙台市青葉区中央１丁目
白石蔵王	しらいしざおう	宮城県白石市大鷹沢三沢桜田１１−１
福島	ふくしま	福島県福島市栄町１−１
郡山	こおりやま	福島県郡山市字燧田１９５
新白河	しんしらかわ	福島県西白河郡西郷村道南東１１４
那須塩原	なすしおばら	栃木県那須塩原市大原間
宇都宮	うつのみや	栃木県宇都宮市川向町１−２３
小山	おやま	栃木県小山市城山町３丁目
大宮	おおみや	埼玉県さいたま市大宮区錦町６３０
上野	うえの	東京都台東区上野７−１−１
東京	とうきょう	東京都千代田区丸の内１丁目
